team,elo,last_3_goals
Algeria,1743,"[1.0, 0.0, 2.0]"
Argentina,2113,"[0.0, 3.0, 2.0]"
Australia,1783,"[1.0, 2.0, 0.0]"
Austria,1827,"[1.0, 3.0, 0.0]"
Belgium,1867,"[5.0, 1.0, 0.0]"
Bosnia and Herzegovina,1594,"[1.0, 1.0, 3.0]"
Brazil,1984,"[1.0, 3.0, 3.0]"
Canada,1784,"[1.0, 6.0, 1.0]"
Cape Verde,1549,"[1.0, 0.0, 2.0]"
Colombia,1975,"[2.0, 3.0, 1.0]"
Croatia,1930,"[0.0, 2.0, 1.0]"
Curaçao,1436,"[1.0, 1.0, 0.0]"
DR Congo,1655,"[0.0, 1.0, 0.0]"
Ecuador,1933,"[2.0, 0.0, 0.0]"
Egypt,1689,"[1.0, 1.0, 3.0]"
England,2020,"[1.0, 4.0, 0.0]"
France,2081,"[1.0, 3.0, 3.0]"
Germany,1923,"[2.0, 7.0, 2.0]"
Ghana,1503,"[0.0, 1.0, 0.0]"
Haiti,1532,"[0.0, 0.0, 2.0]"
Iran,1760,"[0.0, 2.0, 0.0]"
Iraq,1607,"[1.0, 1.0, 0.0]"
Ivory Coast,1676,"[2.0, 1.0, 1.0]"
Japan,1904,"[1.0, 2.0, 4.0]"
Jordan,1690,"[0.0, 1.0, 1.0]"
Mexico,1860,"[1.0, 2.0, 1.0]"
Morocco,1822,"[1.0, 1.0, 4.0]"
Netherlands,1961,"[2.0, 2.0, 5.0]"
New Zealand,1585,"[0.0, 2.0, 1.0]"
Norway,1912,"[1.0, 4.0, 3.0]"
Panama,1737,"[1.0, 0.0, 0.0]"
Paraguay,1833,"[1.0, 1.0, 1.0]"
Portugal,1984,"[2.0, 1.0, 5.0]"
Qatar,1425,"[1.0, 0.0, 1.0]"
Saudi Arabia,1568,"[0.0, 1.0, 0.0]"
Scotland,1767,"[1.0, 0.0, 0.0]"
Senegal,1878,"[0.0, 1.0, 2.0]"
South Africa,1524,"[1.0, 0.0, 1.0]"
South Korea,1752,"[0.0, 0.0, 0.0]"
Spain,2165,"[1.0, 0.0, 4.0]"
Sweden,1719,"[1.0, 5.0, 1.0]"
Switzerland,1889,"[1.0, 4.0, 2.0]"
Tunisia,1636,"[0.0, 1.0, 0.0]"
Turkey,1902,"[2.0, 0.0, 0.0]"
United States,1721,"[1.0, 4.0, 2.0]"
Uruguay,1892,"[0.0, 1.0, 2.0]"
Uzbekistan,1727,"[1.0, 1.0, 0.0]"
